rank,full_name,team,injury_status,position,age,points,avg_adp,trend,KeepTradeCut,90D Peak
1,Ja'Marr Chase,CIN,,WR,25,339.5,1,0,9998,
2,Jayden Daniels,WAS,,QB,24,364.82,3,0,9997,
3,Josh Allen,BUF,,QB,29,385.04,1,0,9990,
4,Lamar Jackson,BAL,,QB,28,434.38,2,-2,9446,
5,Justin Jefferson,MIN,,WR,25,265.98,2,-2,9444,
6,Malik Nabers,NYG,,WR,21,219.1,5,1,8693,
7,Bijan Robinson,ATL,,RB,23,311.2,2,2,8271,high
8,Joe Burrow,CIN,,QB,28,381.82,4,-2,8266,
9,Brock Bowers,LV,,TE,22,206.7,1,0,8201,
10,Jahmyr Gibbs,DET,,RB,23,336.9,3,0,8187,
11,Jalen Hurts,PHI,,QB,26,320.12,5,-1,8072,
12,CeeDee Lamb,DAL,,WR,26,212.9,3,1,7933,
13,Ashton Jeanty,LV,,RB,21,0,4,5,7876,high
14,Brian Thomas,JAX,,WR,22,240.5,8,2,7708,
15,Amon-Ra St. Brown,DET,,WR,25,258.68,5,0,7515,
16,Puka Nacua,LA,,WR,23,167.1,5,0,7371,
17,Patrick Mahomes,KC,,QB,29,293.52,6,-2,7063,
18,Drake Maye,NE,,QB,22,187.14,16,0,6774,
19,Justin Herbert,LAC,,QB,27,288.4,13,-1,6669,
20,C.J. Stroud,HOU,,QB,23,232.38,17,0,6653,
21,Caleb Williams,CHI,Questionable,QB,23,260.54,11,-2,6612,low
22,Drake London,ATL,,WR,23,230.8,9,0,6569,
23,Trey McBride,ARI,,TE,25,194.3,2,0,6542,
24,Nico Collins,HOU,,WR,26,176.6,7,-1,6536,
25,Bo Nix,DEN,,QB,25,328.7,8,0,6532,
26,Marvin Harrison,ARI,,WR,22,165.5,17,-1,6495,
27,Ladd McConkey,LAC,,WR,23,199.9,11,2,6491,
28,Saquon Barkley,PHI,,RB,28,338.8,2,-1,6472,low
29,2025 Early 1st,FA,,PI,,0,0,-1,6343,
30,Jaxon Smith-Njigba,SEA,,WR,23,203,13,-3,6297,
31,Omarion Hampton,LAC,,RB,22,0,15,6,6262,
32,Jordan Love,GB,,QB,26,244.86,16,-2,6146,low
33,De'Von Achane,MIA,,RB,23,260.9,7,0,6003,
34,Garrett Wilson,NYJ,,WR,24,201.4,14,-4,5956,low
35,Travis Hunter,JAX,,WR,22,0,31,5,5955,
36,A.J. Brown,PHI,,WR,27,183.4,10,-4,5926,
37,Brock Purdy,SF,,QB,25,278.86,13,4,5770,
38,Bucky Irving,TB,,RB,22,220.9,9,1,5709,
39,2026 Early 1st,FA,,PI,,0,0,1,5703,
40,2027 Early 1st,FA,,PI,,0,0,3,5697,
41,Tetairoa McMillan,CAR,,WR,22,0,25,3,5616,
42,Kyler Murray,ARI,,QB,27,308.24,10,-1,5593,
43,J.J. McCarthy,MIN,,QB,22,0,21,1,5540,
44,Tee Higgins,CIN,,WR,26,185.6,13,-1,5490,
45,Trevor Lawrence,JAX,Questionable,QB,25,152.2,19,-2,5456,
46,Breece Hall,NYJ,,RB,23,212.4,13,-2,5453,
47,TreVeyon Henderson,NE,,RB,22,0,20,8,5450,
48,Jonathan Taylor,IND,,RB,26,235.7,9,-2,5401,low
49,Cameron Ward,TEN,,QB,23,0,25,-2,5393,
50,Baker Mayfield,TB,,QB,30,381.8,7,-1,5392,
51,2025 Mid 1st,FA,,PI,,0,0,1,5378,
52,Rashee Rice,KC,Questionable,WR,25,53.9,20,-1,5375,
53,Sam LaPorta,DET,,TE,24,144.6,4,-1,5321,
54,Michael Penix,ATL,,QB,25,47.1,21,-1,5318,
55,Quinshon Judkins,CLE,,RB,21,0,24,9,5299,
56,Kyren Williams,LA,,RB,24,255.1,11,-1,5233,
57,DeVonta Smith,PHI,,WR,26,165.4,23,-1,5194,
58,Rome Odunze,CHI,,WR,22,117.9,34,-7,5147,
59,2026 Mid 1st,FA,,PI,,0,0,1,4908,
60,Emeka Egbuka,TB,,WR,22,0,49,7,4907,high
61,Bryce Young,CAR,,QB,23,204.02,24,0,4901,
62,James Cook,BUF,,RB,25,250.7,14,-1,4823,
63,Kenneth Walker,SEA,Questionable,RB,24,158.2,18,0,4797,
64,2027 Mid 1st,FA,,PI,,0,0,2,4797,
65,Josh Jacobs,GB,,RB,27,275.1,9,0,4779,
66,Chase Brown,CIN,Questionable,RB,25,228,13,7,4757,high
67,RJ Harvey,DEN,,RB,24,0,26,51,4726,high
68,Xavier Worthy,KC,,WR,22,157.7,23,-2,4715,
69,2025 Late 1st,FA,,PI,,0,0,1,4708,
70,Christian McCaffrey,SF,,RB,28,40.3,6,-1,4707,
71,Jared Goff,DET,,QB,30,335.96,11,-3,4702,
72,Kaleb Johnson,PIT,,RB,21,0,26,16,4662,
73,Jordan Addison,MIN,,WR,23,181,33,-4,4655,low
74,Colston Loveland,CHI,Questionable,TE,21,0,12,0,4643,
75,Zay Flowers,BAL,Questionable,WR,24,172.5,26,-3,4619,
76,Dak Prescott,DAL,Questionable,QB,31,124.52,15,-2,4609,
77,Tyler Warren,IND,,TE,23,0,9,0,4607,
78,Derrick Henry,BAL,,RB,31,326.9,6,5,4529,high
79,DK Metcalf,PIT,,WR,27,158.2,26,-4,4499,low
80,Chris Olave,NO,Questionable,WR,24,60.7,33,-4,4464,low
81,2026 Late 1st,FA,,PI,,0,0,2,4461,
82,Jameson Williams,DET,,WR,24,183.2,28,-4,4428,
83,Jaxson Dart,NYG,,QB,22,0,31,4,4379,
84,Jaylen Waddle,MIA,,WR,26,120.6,33,-6,4359,
85,Terry McLaurin,WAS,,WR,29,226.8,16,-3,4334,
86,DJ Moore,CHI,,WR,28,189.1,20,-7,4325,low
87,2027 Late 1st,FA,,PI,,0,0,2,4313,
88,Matthew Golden,GB,,WR,21,0,44,-3,4308,
89,George Pickens,DAL,,WR,24,134.9,37,-3,4264,
90,George Kittle,SF,,TE,31,197.6,3,3,4200,high
91,Luther Burden,CHI,Questionable,WR,21,0,50,3,4180,
92,Ricky Pearsall,SF,,WR,24,78,42,-1,4059,
93,T.J. Hockenson,MIN,,TE,27,66,5,-4,4034,
94,Chuba Hubbard,CAR,,RB,25,220.1,19,-3,3996,
95,Tua Tagovailoa,MIA,Questionable,QB,27,188.58,22,-7,3966,low
96,Brandon Aiyuk,SF,Questionable,WR,27,49.9,45,-8,3926,
97,Justin Fields,NYJ,,QB,26,120.14,15,-3,3878,
98,Jayden Higgins,HOU,,WR,22,0,55,23,3838,
99,2025 Early 2nd,FA,,PI,,0,0,-2,3835,
100,Mike Evans,TB,,WR,31,203.4,19,-5,3794,low
101,David Montgomery,DET,,RB,27,203.72,22,-2,3787,
102,Jerry Jeudy,CLE,,WR,26,195.9,33,-3,3755,
103,Tyreek Hill,MIA,Questionable,WR,31,177.7,15,-7,3727,low
104,Jayden Reed,GB,Questionable,WR,25,169.5,43,0,3694,
105,Alvin Kamara,NO,Questionable,RB,29,231.3,18,2,3683,
106,Sam Darnold,SEA,,QB,27,319.96,27,-10,3681,low
107,Joe Mixon,HOU,,RB,28,222.5,17,-4,3656,
108,Tre Harris,LAC,,WR,23,0,56,19,3650,high
109,Chris Godwin,TB,Questionable,WR,29,112.8,31,-8,3650,
110,Cam Skattebo,NYG,,RB,23,0,33,10,3646,
111,Khalil Shakir,BUF,,WR,25,144.5,43,-4,3609,
112,Josh Downs,IND,,WR,23,147.5,48,-5,3609,
113,2026 Early 2nd,FA,,PI,,0,0,2,3548,
114,Davante Adams,LA,,WR,32,198.8,19,-3,3522,
115,Anthony Richardson,IND,Questionable,QB,23,174.86,28,-4,3496,low
116,2025 Mid 2nd,FA,,PI,,0,0,0,3477,
117,Keon Coleman,BUF,,WR,22,97,55,-8,3424,low
118,Courtland Sutton,DEN,,WR,29,199.8,26,-1,3417,
119,Brian Robinson,WAS,,RB,26,149.8,33,5,3380,
120,Kyle Pitts,ATL,,TE,24,107.7,17,-2,3324,
121,Jack Bech,LV,Questionable,WR,22,0,63,38,3310,
122,2027 Early 2nd,FA,,PI,,0,0,0,3308,
123,Michael Pittman,IND,,WR,27,131.3,51,-4,3304,
124,Geno Smith,LV,,QB,34,281,25,-5,3286,
125,Zach Charbonnet,SEA,,RB,24,165.9,35,-5,3277,
126,Jalen Milroe,SEA,,QB,22,0,34,1,3257,high
127,Trey Benson,ARI,Questionable,RB,22,44,44,-4,3252,
128,Dalton Kincaid,BUF,,TE,25,78.8,14,-8,3247,low
129,Isaiah Likely,BAL,,TE,25,102.7,18,-6,3188,
130,D'Andre Swift,CHI,,RB,26,193.5,30,10,3186,
131,Isiah Pacheco,KC,,RB,26,50.9,30,3,3182,
132,Tucker Kraft,GB,,TE,24,138.3,13,-6,3180,low
133,Tyrone Tracy,NYG,,RB,25,163.3,28,-9,3173,low
134,Kyle Williams,NE,,WR,22,0,67,96,3172,high
135,David Njoku,CLE,Questionable,TE,28,116.5,11,-7,3164,
136,James Conner,ARI,Questionable,RB,30,231.3,22,0,3156,
137,Matthew Stafford,LA,,QB,37,222.58,23,2,3154,
138,2026 Mid 2nd,FA,,PI,,0,0,-1,3130,
139,Mark Andrews,BAL,,TE,29,161.3,8,-5,3124,
140,2025 Late 2nd,FA,,PI,,0,0,0,3113,
141,Jauan Jennings,SF,,WR,27,172,38,-5,3112,
142,Jakobi Meyers,LV,,WR,28,174.5,42,-4,3103,
143,Bhayshul Tuten,JAX,,RB,23,0,41,28,3080,
144,Tony Pollard,TEN,,RB,28,180.2,28,0,3017,
145,2027 Mid 2nd,FA,,PI,,0,0,0,3000,
146,Deebo Samuel,WAS,,WR,29,128.1,37,-4,2994,
147,Jaylin Noel,HOU,,WR,22,0,74,26,2991,
148,Travis Etienne,JAX,,RB,26,110.7,36,-6,2982,
149,Aaron Jones,MIN,,RB,30,216.1,26,-4,2921,
150,Jaydon Blue,DAL,,RB,21,0,48,49,2915,high
151,Tyler Shough,NO,,QB,25,0,34,49,2905,
152,Jalen McMillan,TB,,WR,23,116.9,59,-8,2901,
153,Mason Taylor,NYJ,,TE,21,0,26,56,2900,
154,Jaylen Warren,PIT,,RB,26,105.1,32,-7,2900,
155,Calvin Ridley,TEN,,WR,30,167.2,35,-2,2898,
156,2026 Late 2nd,FA,,PI,,0,0,0,2877,
157,Evan Engram,DEN,Questionable,TE,30,66,10,-2,2868,
158,Terrance Ferguson,LA,,TE,22,0,34,65,2855,high
159,Stefon Diggs,NE,Questionable,WR,31,98.42,45,2,2851,
160,Tyjae Spears,TEN,,RB,23,98.6,41,-1,2844,
161,Cooper Kupp,SEA,,WR,31,141.5,45,-4,2840,
162,Tank Bigsby,JAX,,RB,22,125.5,43,-4,2833,
163,Jake Ferguson,DAL,,TE,26,74.9,16,0,2829,
164,2027 Late 2nd,FA,,PI,,0,0,2,2822,
165,Braelon Allen,NYJ,,RB,21,75.7,53,-7,2793,
166,Pat Freiermuth,PIT,,TE,26,135.8,20,-1,2784,
167,Xavier Legette,CAR,Questionable,WR,24,100.6,67,-6,2784,low
168,Travis Kelce,KC,,TE,35,146.9,7,3,2782,
169,Shedeur Sanders,CLE,,QB,23,0,32,-27,2779,
170,Darnell Mooney,ATL,Questionable,WR,27,161.2,52,-1,2769,
171,Najee Harris,LAC,,RB,27,186.6,30,-4,2761,
172,Jordan Mason,MIN,Questionable,RB,26,109.5,38,-5,2741,
173,Rashid Shaheed,NO,Questionable,WR,26,69.8,57,-6,2722,
174,Marvin Mims,DEN,,WR,23,110,58,-1,2720,
175,Dylan Sampson,CLE,,RB,20,0,51,-2,2712,
176,Brenton Strange,JAX,,TE,24,71.1,22,-3,2691,
177,Cade Otton,TB,,TE,26,111.1,23,-5,2687,
178,Jaylen Wright,MIA,,RB,22,25.2,55,0,2672,
179,Isaac Guerendo,SF,Questionable,RB,24,86.7,46,-3,2657,
180,Javonte Williams,DAL,,RB,25,131.9,40,0,2652,
181,Jalen Royals,KC,,WR,22,0,78,27,2636,
182,Cedric Tillman,CLE,Questionable,WR,25,65.9,67,-2,2633,
183,Jonnu Smith,MIA,,TE,29,178.3,7,-6,2630,
184,Rachaad White,TB,,RB,26,174.1,44,-6,2624,low
185,Elijah Arroyo,SEA,,TE,22,0,34,26,2621,
186,Adonai Mitchell,IND,,WR,22,42.26,83,-7,2615,
187,Rashod Bateman,BAL,,WR,25,152.1,60,-5,2615,
188,Devin Neal,NO,,RB,21,0,56,1,2605,
189,Rhamondre Stevenson,NE,,RB,27,159.4,36,-3,2595,
190,2025 Early 3rd,FA,,PI,,0,0,-2,2583,
191,Jonathon Brooks,CAR,IR,RB,21,6,84,-13,2573,low
192,Ray Davis,BUF,,RB,25,107.6,49,-3,2556,
193,Harold Fannin,CLE,,TE,20,0,33,22,2550,
194,Romeo Doubs,GB,Questionable,WR,25,109.1,70,-6,2543,
195,Tank Dell,HOU,IR,WR,25,114.5,105,-13,2508,
196,Dallas Goedert,PHI,,TE,30,82.6,17,-5,2491,low
197,Jalen Coker,CAR,,WR,23,76.56,77,-10,2472,low
198,Ben Sinnott,WAS,,TE,22,11.3,39,-7,2467,
199,Hollywood Brown,KC,,WR,27,13.6,60,-8,2457,
200,Quentin Johnston,LAC,,WR,23,147.2,66,-13,2455,
201,Trevor Etienne,CAR,,RB,20,0,74,4,2443,
202,2025 Mid 3rd,FA,,PI,,0,0,0,2440,
203,Elic Ayomanor,TEN,,WR,21,0,80,12,2430,
204,Pat Bryant,DEN,,WR,22,0,86,100,2425,high
205,2026 Early 3rd,FA,,PI,,0,0,0,2397,high
206,Tyler Allgeier,ATL,,RB,25,99.7,53,-9,2382,
207,Christian Watson,GB,IR,WR,26,90.8,107,-12,2371,
208,Ja'Tavion Sanders,CAR,,TE,22,56.7,33,-11,2354,
209,Blake Corum,LA,Questionable,RB,24,30,59,-19,2353,low
210,Wan'Dale Robinson,NYG,,WR,24,136.2,71,-10,2327,
211,DJ Giddens,IND,,RB,21,0,61,14,2321,
212,2027 Early 3rd,FA,,PI,,0,0,2,2296,high
213,2025 Late 3rd,FA,,PI,,0,0,4,2286,
214,MarShawn Lloyd,GB,,RB,24,2.3,63,-5,2278,
215,Jordan James,SF,,RB,21,0,67,59,2274,
216,Ollie Gordon,MIA,,RB,21,0,62,-3,2271,
217,Roman Wilson,PIT,,WR,23,0,100,13,2270,
218,Christian Kirk,HOU,Questionable,WR,28,57.4,57,-23,2268,
219,Will Howard,PIT,,QB,23,0,45,26,2251,
220,Jarquez Hunter,LA,,RB,22,0,66,100,2207,high
221,2026 Mid 3rd,FA,,PI,,0,0,1,2206,
222,Dontayvion Wicks,GB,,WR,23,91,83,-17,2195,
223,Daniel Jones,IND,,QB,27,142.3,35,-9,2185,
224,DeMario Douglas,NE,,WR,24,114.7,79,-10,2182,
225,Roschon Johnson,CHI,,RB,24,69.4,68,13,2176,
226,Alec Pierce,IND,,WR,25,142.9,76,-9,2159,
227,Cole Kmet,CHI,,TE,26,96.9,28,-12,2159,low
228,Troy Franklin,DEN,,WR,22,53.1,97,-13,2154,
229,J.K. Dobbins,,,RB,26,175.8,50,-14,2124,low
230,Rico Dowdle,CAR,,RB,26,178.3,49,-9,2105,
231,Isaac TeSlaa,DET,,WR,23,0,98,100,2086,
232,Joe Milton,DAL,,QB,25,19.24,42,-11,2078,
233,Russell Wilson,NYG,,QB,36,177.78,30,-17,2077,low
234,Kendre Miller,NO,Questionable,RB,22,26.6,75,-12,2060,
235,2027 Mid 3rd,FA,,PI,,0,0,2,2057,
236,Theo Johnson,NYG,Questionable,TE,24,53.6,33,-6,2055,
237,2026 Late 3rd,FA,,PI,,0,0,3,2043,
238,Dillon Gabriel,CLE,,QB,24,0,53,30,2043,
239,Woody Marks,HOU,,RB,24,0,74,100,2039,high
240,Joshua Palmer,BUF,,WR,25,87.9,74,-7,2038,
241,Chig Okonkwo,TEN,,TE,25,87.6,27,-4,2036,
242,Audric Estime,DEN,,RB,21,46.2,72,-11,2019,low
243,Tahj Brooks,CIN,,RB,23,0,78,100,1995,
244,Dalton Schultz,HOU,,TE,28,91.7,28,-7,1989,
245,Michael Wilson,ARI,Questionable,WR,25,103,82,-11,1989,
246,2027 Late 3rd,FA,,PI,,0,0,6,1979,
247,Luke Musgrave,GB,,TE,24,8,43,-14,1965,low
248,Mike Gesicki,CIN,,TE,29,109,24,-10,1955,
249,Tory Horton,SEA,,WR,22,0,91,67,1943,
250,Michael Mayer,LV,,TE,23,26.1,43,-17,1941,
251,Jerome Ford,CLE,,RB,25,115.5,54,-24,1923,
252,Damien Martinez,SEA,,RB,21,0,73,9,1922,high
253,Noah Gray,KC,,TE,26,93.3,36,-16,1917,
254,Kyle Monangai,CHI,,RB,22,0,80,100,1905,
255,Keaton Mitchell,BAL,,RB,23,6.3,79,-8,1891,low
256,Amari Cooper,,,WR,30,100.7,77,-22,1882,
257,Quinn Ewers,MIA,,QB,22,0,50,-14,1875,
258,Kirk Cousins,ATL,,QB,36,192.32,37,-21,1874,
259,Xavier Restrepo,TEN,,WR,23,0,93,5,1873,
260,Brashard Smith,KC,,RB,22,0,66,60,1867,high
261,2025 Early 4th,FA,,PI,,0,0,2,1865,
262,Savion Williams,GB,,WR,23,0,91,99,1850,high
263,Ja'Lynn Polk,NE,Questionable,WR,23,26.7,121,-12,1847,low
264,Jordan Whittington,LA,,WR,24,42.5,98,-7,1837,low
265,Hunter Henry,NE,Questionable,TE,30,112.4,22,-4,1817,
266,Tai Felton,MIN,,WR,22,0,97,95,1817,
267,Elijah Moore,BUF,,WR,25,90.4,114,-2,1813,
268,Austin Ekeler,WAS,,RB,30,114.8,50,-6,1812,
269,Spencer Rattler,NO,,QB,24,72.28,42,-4,1803,
270,Sean Tucker,TB,,RB,23,64.2,77,-10,1800,
271,Jaleel McLaughlin,DEN,,RB,24,85.2,71,-10,1786,
272,Isaiah Davis,NYJ,,RB,23,41.4,89,-1,1785,
273,Will Shipley,PHI,,RB,22,13.7,67,1,1781,
274,Andrei Iosivas,CIN,,WR,25,101.9,92,-18,1777,low
275,Kayshon Boutte,NE,,WR,23,100.4,101,-19,1774,
276,Luke McCaffrey,WAS,,WR,24,25.8,122,-12,1753,
277,2026 Early 4th,FA,,PI,,0,0,4,1738,
278,Nick Chubb,,,RB,29,60.8,61,-13,1731,
279,Gunnar Helm,TEN,,TE,22,0,39,43,1724,
280,Keenan Allen,,,WR,32,150.4,66,-22,1721,
281,Tre Tucker,LV,,WR,24,105.8,101,-8,1714,
282,2025 Mid 4th,FA,,PI,,0,0,0,1714,
283,Zach Ertz,WAS,,TE,34,144.4,21,-8,1696,
284,Malik Washington,MIA,,WR,24,41.8,109,-11,1688,low
285,Oronde Gadsden,LAC,,TE,21,0,38,100,1686,high
286,Calvin Austin,PIT,,WR,26,100.8,103,12,1658,
287,Adam Thielen,CAR,,WR,34,115.5,68,-6,1654,
288,Chimere Dike,TEN,,WR,23,0,124,100,1653,high
289,Darius Slayton,NYG,,WR,28,90.5,87,-2,1651,
290,Jermaine Burton,CIN,,WR,23,12.7,129,1,1633,
291,2025 Late 4th,FA,,PI,,0,0,2,1626,
292,Dawson Knox,BUF,,TE,28,48.1,48,-5,1625,
293,Jameis Winston,NYG,,QB,31,143.14,41,-20,1619,low
294,Dyami Brown,JAX,,WR,25,52.4,89,-10,1615,low
295,Juwan Johnson,NO,,TE,28,97.8,31,-9,1613,
296,Jaylin Lane,WAS,,WR,23,0,120,100,1612,
297,2026 Mid 4th,FA,,PI,,0,0,0,1610,
298,Parker Washington,JAX,,WR,23,81,106,-18,1608,low
299,Jalin Hyatt,NYG,,WR,23,10.2,146,0,1607,
300,Sam Howell,MIN,,QB,24,0.16,52,-5,1604,
301,Tutu Atwell,LA,,WR,25,77.9,92,-10,1587,
302,Tez Johnson,TB,,WR,23,0,118,6,1586,
303,2027 Early 4th,FA,,PI,,0,0,1,1571,
304,Zack Moss,CIN,Questionable,RB,27,70.4,81,-8,1567,
305,Jalen Nailor,MIN,,WR,26,90,117,-1,1563,
306,Javon Baker,NE,,WR,23,1.7,152,-6,1561,
